,sentence,sentence_annotation,intent,action,scenario,labels
986,what is the rate of inr,what is the rate of [currency_name : inr],qa_currency,currency,qa,51
987,what's the stock price for tesco,what's the stock price for [business_name : tesco],qa_stock,stock,qa,55
988,who is the artist of the song playing now,who is the artist of the song playing now,music_query,query,music,41
989,is there any chinese places in benton ar,is there any [food_type : chinese] places in [place_name : benton ar],recommendation_locations,locations,recommendation,59
990,listen to duncan trussel's latest podcast,listen to [person : duncan trussel's] latest podcast,play_podcasts,podcasts,play,47
991,do i have any reminders on my list,do i have any reminders on my list,calendar_query,query,calendar,6
992,tell me today's newspaper's headlines,tell me [date : today's] [media_type : newspaper's] headlines,news_query,query,news,43
993,send me alert on any new topic on politics,send me alert on any new topic on [news_topic : politics],news_query,query,news,43
994,reserve a taxi,reserve a [transport_type : taxi],transport_taxi,taxi,transport,67
995,post to facebook aww i'm sick,post to [media_type : facebook] aww i'm sick,social_post,post,social,62
996,put a repeating event on the calendar,put a [event_name : repeating event] on the calendar,calendar_set,set,calendar,8
997,alarm set eight am,alarm set [time : eight am],alarm_set,set,alarm,2
998,calculate distance from boston to new york,calculate distance from [place_name : boston] to [place_name : new york],qa_factoid,factoid,qa,53
999,i would like to know the traffic condition,i would like to know the traffic condition,transport_traffic,traffic,transport,69
1000,please turn off the smart plug socket,please turn off the [device_type : smart plug socket],iot_wemo_off,wemo_off,iot,32
1001,please search for events in my location,please search for events in my location,recommendation_events,events,recommendation,58
1002,tell me the hour,tell me the hour,datetime_query,query,datetime,13
1003,delete all events and information,delete all events and information,calendar_remove,remove,calendar,7
1004,i can't hear just increase the volume,i can't hear just increase the volume,audio_volume_up,volume_up,audio,5
1005,who are the top five all time nhl goal scorers,who are the top five all time nhl goal scorers,general_quirky,quirky,general,21
1006,how to repeat the song,how to repeat the song,music_query,query,music,41
1007,what is the square root of forty two,what is the square root of forty two,qa_maths,maths,qa,54
1008,play some radio,play some radio,play_radio,radio,play,48
1009,how people are thinking in such a manner that they can hide everything from god,how people are thinking in such a manner that they can hide everything from god,general_quirky,quirky,general,21
1010,what time does the dinner party start tonight,what time does the [event_name : dinner party] start [timeofday : tonight],calendar_query,query,calendar,6
1011,what's happening in the world today,what's happening in the world [date : today],news_query,query,news,43
1012,olly where can i got to grab some drinks in west chester,olly where can i got to grab some [business_type : drinks] in [place_name : west chester],recommendation_locations,locations,recommendation,59
1013,when did i get an email from john smith about car accident,when did i get an email from [person : john smith] about car accident,email_query,query,email,15
1014,i need to keep two toddlers busy tell me what to do,i need to keep two toddlers busy tell me what to do,general_quirky,quirky,general,21
1015,please play recently paused audio,please play recently paused [media_type : audio],play_audiobook,audiobook,play,44
1016,who is the wife of obama,who is the wife of [person : obama],qa_factoid,factoid,qa,53
1017,disable shuffle,[player_setting : disable] [player_setting : shuffle],music_settings,settings,music,42
1018,send an email to my manager,send an email to my [relation : manager],email_sendemail,sendemail,email,17
1019,is traffic heavy,is traffic heavy,transport_traffic,traffic,transport,69
1020,what does hypothesis mean,what does [definition_word : hypothesis] mean,qa_definition,definition,qa,52
1021,weather in homestead,weather in [place_name : homestead],weather_query,query,weather,70
1022,when is my meeting,when is my [event_name : meeting],set,set,calendar,61
1023,audio on,audio on,audio_volume_up,volume_up,audio,5
1024,how is traffic,how is traffic,transport_traffic,traffic,transport,69
1025,i want you to play my soccer game from fifth level,i want you to play my [game_name : soccer] game from fifth level,play_game,game,play,45
1026,book train ticket for this time,book [transport_type : train] ticket for this time,transport_ticket,ticket,transport,68
1027,call me an uber for right now,call me an [transport_agency : uber] for right now,transport_taxi,taxi,transport,67
1028,whats the weeks forecast,whats the [time : weeks] forecast,weather_query,query,weather,70
1029,order some takeaway food,order some [order_type : takeaway] food,takeaway_order,order,takeaway,64
1030,i want you to remind me about the evening program,i want you to remind me about the [event_name : evening program],calendar_set,set,calendar,8
1031,domino's has takeaway right,[business_name : domino's] has [order_type : takeaway] right,takeaway_query,query,takeaway,65
1032,what lists are available,what lists are available,query,query,lists,56
1033,i need some sushi what's closest,i need some [food_type : sushi] what's closest,recommendation_locations,locations,recommendation,59
1034,can you give me train times for ann arbor,can you give me [transport_type : train] times for [place_name : ann arbor],transport_query,query,transport,66
1035,what is the weather update for tuesday,what is the weather update for [date : tuesday],weather_query,query,weather,70
1036,is there a contact named allen in my list,is there a contact [personal_info : named] [person : allen] in my list,email_querycontact,querycontact,email,16
1037,start reading book,[player_setting : start reading] book,play_audiobook,audiobook,play,44
1038,find list and remove apple,find list and remove apple,lists_remove,remove,lists,37
1039,are there any traffic issues,are there any traffic issues,transport_traffic,traffic,transport,69
1040,can you find an animal joke for me,can you find an [joke_type : animal] joke for me,general_joke,joke,general,20
1041,hey olly tell me a joke,hey olly tell me a joke,general_joke,joke,general,20
1042,play uptown girl by billy joel,play [song_name : uptown girl] by [artist_name : billy joel],play_music,music,play,46
1043,play the last next episode,play the last [podcast_descriptor : next episode],play_podcasts,podcasts,play,47
1044,create a new list of my pending bills,create a new list of my [list_name : pending bills],lists_createoradd,createoradd,lists,35
1045,remove all the events and schedules,remove all the events and schedules,calendar_remove,remove,calendar,7
1046,do i have any pending reminder,do i have any pending reminder,calendar_query,query,calendar,6
1047,play fourth song of the same album after this song,Play fourth song of the same album after this song,play_music,music,play,46
1048,tell me all local events,tell me all local events,recommendation_events,events,recommendation,58
1049,what song is currently playing,what song is currently playing,music_query,query,music,41
1050,play me barcelona by queen,play me [song_name : barcelona] by [artist_name : queen],play_music,music,play,46
1051,give me directions for the place,give me directions for the place,transport_query,query,transport,66
1052,rating,rating,music_likeness,likeness,music,40
1053,tweet walmart and tell them their customer service is horrible,[media_type : tweet] [business_name : walmart] and tell them their customer service is horrible,social_post,post,social,62
1054,post to twitter got a hectic day ahead,post to [media_type : twitter] got a hectic day ahead,social_post,post,social,62
1055,i need to email susan and metion,i need to email [person : susan] and [person : metion],email_sendemail,sendemail,email,17
1056,please remind me of,please remind me of,calendar_set,set,calendar,8
1057,tap start and then select settings,tap start and then select settings,alarm_query,query,alarm,0
1058,add that song to my top ten favorites list,add that song to my top ten favorites list,music_likeness,likeness,music,40
1059,book my train ticket to new york,book my [transport_type : train] ticket to [place_name : new york],transport_ticket,ticket,transport,68
1060,check by inbox for me,check by [email_folder : inbox] for me,email_query,query,email,15
1061,what day of the week is june twenty seventh on this year,what day of the week is [date : june twenty seventh] on this year,datetime_query,query,datetime,13
1062,olly should i wear my gloves or not,olly should i wear my [weather_descriptor : gloves] or not,weather_query,query,weather,70
1063,set calendar info for albert's marriage,set calendar info for [event_name : albert's marriage],calendar_set,set,calendar,8
1064,can you pause the audio,can you [player_setting : pause] the [media_type : audio],play_audiobook,audiobook,play,44
1065,play my gym playlist,play my [playlist_name : gym playlist],play_music,music,play,46
1066,switch on radio,switch on radio,play_radio,radio,play,48
1067,please have vacuum go for one hour,please have [device_type : vacuum] go for [time : one hour],iot_cleaning,cleaning,iot,25
1068,what's new on itunes,what's new on itunes,music_query,query,music,41
1069,how do you define textual,how do you define [definition_word : textual],qa_definition,definition,qa,52
1070,hey olly i want to get trains to manchester on wednesday,hey olly i want to get trains to [place_name : manchester] on [date : Wednesday],transport_ticket,ticket,transport,68
1071,euro to u. s. d.,[currency_name : euro] to [currency_name : u. s. d.],qa_currency,currency,qa,51
1072,showcase the radio,showcase the radio,play_radio,radio,play,48
1073,weather in home town,weather in [place_name : home town],weather_query,query,weather,70
1074,i want to hear chopin now,i want to hear [artist_name : chopin] now,play_music,music,play,46
1075,for how much time should i oven pizza to make it perfect crispy,for how much time should i oven [food_type : pizza] to make it perfect [cooking_type : crispy],cooking_recipe,recipe,cooking,11
1076,make coffee now,make coffee now,iot_coffee,coffee,iot,26
1077,you were bring an new schemes,you were bring an new schemes,general_quirky,quirky,general,21
1078,please remove any alarms that i have set,please remove any alarms that i have set,alarm_remove,remove,alarm,1
1079,please convert nine am cst to est time,please convert [time : nine am] [place_name : cst] to [place_name : est] time,datetime_convert,convert,datetime,12
1080,set colour blue for all lights of my house,set colour [color_type : blue] for all lights of my house,iot_hue_lightchange,hue_lightchange,iot,27
1081,please set an alarm for ten pm,please set an alarm for [time : ten pm],alarm_set,set,alarm,2
1082,olly play anything in my recent playlist,olly play [music_descriptor : anything] in my recent playlist,play_music,music,play,46
1083,save that song and my opinion,save that song and my opinion,music_likeness,likeness,music,40
1084,tell me what happens when we die,tell me what happens when we die,general_quirky,quirky,general,21
1085,what do i have going on next week,what do i have going on [date : next week],calendar_query,query,calendar,6
1086,hey google i hit a million dollar lottery jackpot,hey google i hit a million dollar lottery jackpot,general_quirky,quirky,general,21
1087,what lists are currently available right now,what lists are currently available right now,lists_query,query,lists,36
1088,list most rated delivery options for chinese food,list most rated [order_type : delivery] options for [food_type : chinese] food,takeaway_query,query,takeaway,65
1089,please lower the lights a little bit,please lower the lights [change_amount : a little bit],iot_hue_lightdim,hue_lightdim,iot,28
1090,reply to mark's email,reply to [person : mark's] email,email_sendemail,sendemail,email,17
1091,play me some music,play me some music,play_music,music,play,46
1092,play music programs in radio,play music programs in radio,play_radio,radio,play,48
1093,do you have any news from news provides,do you have any news from news provides,news_query,query,news,43
1094,how long do i roast chicken breasts,how long do i roast [food_type : chicken breasts],cooking_recipe,recipe,cooking,11
1095,currency exchange rates,currency exchange rates,qa_currency,currency,qa,51
1096,tweet customer service not good for lpg service in my twitter account,[media_type : tweet] customer service not good for lpg service in my [media_type : twitter] account,social_post,post,social,62
1097,what music is it,what music is it,music_query,query,music,41
1098,dollar rupees exchange rate,[currency_name : dollar] [currency_name : rupees] exchange rate,qa_currency,currency,qa,51
1099,alexa give me everything you know about bob dean,alexa give me everything you know about [person : bob dean],qa_factoid,factoid,qa,53
1100,delete the old playlist and create new,delete the [list_name : old playlist] and create new,lists_createoradd,createoradd,lists,35
1101,what's the news in politics,what's the news in [news_topic : politics],news_query,query,news,43
1102,could you play poker with me,could you play [game_name : poker] with me,play_game,game,play,45
1103,tell me the current time in ottawa,tell me the current time in [place_name : ottawa],datetime_query,query,datetime,13
1104,what's the time in tokyo now,what's the time in [place_name : tokyo] now,datetime_query,query,datetime,13
1105,i like r n b,i like [music_genre : r n b],music_likeness,likeness,music,40
1106,today's closing price for google,today's closing price for [business_name : google],qa_stock,stock,qa,55
1107,cleaning is good dust is so bad do now your magic clean my carpet,cleaning is good dust is so bad do now your magic clean my [house_place : carpet],iot_cleaning,cleaning,iot,25
1108,olly find a description about a samsung tv,olly find a description about a [definition_word : samsung tv],qa_definition,definition,qa,52
1109,tell me time it is,tell me time it is,datetime_query,query,datetime,13
1110,play bbc radio four please,play [radio_name : bbc radio four] please,play_radio,radio,play,48
1111,prepare my morning coffee,prepare my [coffee_type : morning] coffee,iot_coffee,coffee,iot,26
1112,how hot is it in miami,how [weather_descriptor : hot] is it in [place_name : miami],weather_query,query,weather,70
1113,look up next week weather for me please,look up [date : next week] weather for me please,weather_query,query,weather,70
1114,set meeting with jack on ten march,set [event_name : meeting] with [person : jack] on [date : ten march],calendar_set,set,calendar,8
1115,who sells the cheapest netbooks in south austin,who sells the cheapest netbooks in [place_name : south austin],recommendation_locations,locations,recommendation,59
1116,play chopin,play [artist_name : chopin],play_music,music,play,46
1117,what were the winning powerball numbers last night,what were the [news_topic : winning powerball numbers] [date : last night],news_query,query,news,43
1118,please tell me the latest news about the election scenario in our state,please tell me the latest news about the [news_topic : election scenario] in our [place_name : state],news_query,query,news,43
1119,tune in some music,tune in some music,play_music,music,play,46
1120,please open my contact list,please open my [list_name : contact list],email_querycontact,querycontact,email,16
1121,send the email to john,send the email to [person : john],email_sendemail,sendemail,email,17
1122,remind me the upcoming meeting at four am today,remind me the upcoming [event_name : meeting] at [time : four am] [date : today],calendar_set,set,calendar,8
1123,hey is it going to rain today in brooklyn new york,hey is it going to [weather_descriptor : rain] [date : today] in [place_name : brooklyn new york],weather_query,query,weather,70
1124,what is the weather here,what is the weather here,weather_query,query,weather,70
1125,send this content via email,send this content via email,email_sendemail,sendemail,email,17
1126,please start vacuum,please start [device_type : vacuum],iot_cleaning,cleaning,iot,25
1127,send me a reminder to pick up my dog from the groomer at one pm,send me a reminder to [event_name : pick up my dog] from the [place_name : groomer] at [time : one pm],calendar_set,set,calendar,8
1128,show all train and time to ny,show all [transport_type : train] and time to [place_name : ny],transport_query,query,transport,66
1129,set the mood please,set the mood please,iot_hue_lightchange,hue_lightchange,iot,27
1130,remove a list of things to buy,remove a list of [list_name : things to buy],lists_remove,remove,lists,37
1131,i had a lot of meetings today,i had a lot of [event_name : meetings] [date : today],general_quirky,quirky,general,21
1132,set a notification for sixth march that there is a society meeting at eleven am,set a notification for [date : sixth march] that there is a [event_name : society meeting] at [time : eleven am],calendar_set,set,calendar,8
1133,i have a meeting with al on march twenty first at ten,i have a [event_name : meeting] with [person : al] on [date : march twenty first] at [time : ten],calendar_set,set,calendar,8
1134,we're out of paint so take bathroom painting off the list,we're out of paint so take bathroom painting off the list,lists_remove,remove,lists,37
1135,will i need to be warm,will i need to be [weather_descriptor : warm],weather_query,query,weather,70
1136,load spotify,load [app_name : spotify],play_music,music,play,46
1137,what is the weather like tomorrow,what is the weather like [date : tomorrow],weather_query,query,weather,70
1138,remind to at eight pm to take my medicine,remind to at [time : eight pm] to take my [event_name : medicine],calendar_set,set,calendar,8
1139,i want to add something to my calendar,i want to add something to my calendar,calendar_set,set,calendar,8
1140,send email to mom saying happy birthday,send email to [relation : mom] saying happy [event_name : birthday],email_sendemail,sendemail,email,17
1141,remove birthday event from my calendar,remove [event_name : birthday] event from my calendar,calendar_remove,remove,calendar,7
1142,what's the address for alex,what's the [personal_info : address] for [person : alex],email_querycontact,querycontact,email,16
1143,find me a recipe for chicken noodle soup,find me a recipe for [food_type : chicken noodle soup],cooking_recipe,recipe,cooking,11
1144,siri how is the weather outside,siri how is the weather outside,weather_query,query,weather,70
1145,where is my girl friend right now,where is my girl friend right now,general_quirky,quirky,general,21
1146,olly make a calendar entry for next saturday at ten am please,olly make a calendar entry for next [date : saturday] at [time : ten am] please,calendar_set,set,calendar,8
1147,i am need of an evening rain coat,i am need of an [weather_descriptor : evening rain coat],weather_query,query,weather,70
1148,bring up facebook and wish a happy birthday to the country usa,bring up [media_type : facebook] and wish a happy [event_name : birthday] to the country [place_name : usa],social_post,post,social,62
1149,can you tweet a complaint to the furniture store customer service,can you [media_type : tweet] a complaint to the [business_name : furniture store customer service],social_post,post,social,62
1150,tell me about the alarm timings,tell me about the alarm timings,alarm_query,query,alarm,0
1151,remove last played song,remove last played song,lists_remove,remove,lists,37
1152,did i get any emails from sam today,did i get any emails from [person : sam] [date : today],email_query,query,email,15
1153,check and see if i've received any emails from eddie richards having to do with budgets,check and see if i've received any emails from [person : eddie richards] having to do with budgets,email_query,query,email,15
1154,check to see if pizza hut has my order on the way,check to see if [business_name : pizza hut] has my order on the way,takeaway_query,query,takeaway,65
1155,what exhibits or shows are scheduled at the metropolitan theater,what [event_name : exhibits] or [event_name : shows] are scheduled at the [place_name : metropolitan theater],recommendation_events,events,recommendation,58
1156,how much is a train ticket to san fransisco,how much is a [transport_type : train] ticket to [place_name : san fransisco],transport_query,query,transport,66
1157,what's the band is playing now,what's the band is playing now,music_query,query,music,41
1158,which route has less traffic today,which route has less traffic [date : today],transport_traffic,traffic,transport,69
1159,play boogie in your butt by eddie murphy,play [song_name : boogie in your butt] by [artist_name : eddie murphy],play_music,music,play,46
1160,if there were ten easy steps to make myself rich what would they be,if there were ten easy steps to make myself rich what would they be,general_quirky,quirky,general,21
1161,are there any emails in regard to my promotion,are there any emails in regard to my [event_name : promotion],email_query,query,email,15
1162,play the football game on the radio,play the football game on the radio,play_radio,radio,play,48
1163,am i going to need to bring an umbrella to work today,am i going to need to bring an [weather_descriptor : umbrella] to work [date : today],weather_query,query,weather,70
1164,send an uber to me right now,send an [transport_agency : uber] to me right now,transport_taxi,taxi,transport,67
1165,tell me what's going on in my city,tell me what's going on in my city,recommendation_events,events,recommendation,58
1166,hey what time can i catch the nearest train to me,hey what time can i catch the nearest [transport_type : train] to me,transport_query,query,transport,66
1167,post new status on facebook time to celebrate,post new status on [media_type : facebook] time to celebrate,social_post,post,social,62
1168,let me know of the meeting on tuesday,let me know of the [event_name : meeting] on [date : tuesday],calendar_set,set,calendar,8
1169,how's it going,how's it going,general_quirky,quirky,general,21
1170,is it going to snow this week,is it going to [weather_descriptor : snow] [date : this week],weather_query,query,weather,70
1171,open terry's email,open [person : terry's] email,email_sendemail,sendemail,email,17
1172,start new smart socket,start new [device_type : smart socket],iot_wemo_on,wemo_on,iot,33
1173,i'd like to cancel the trip to vegas next week,i'd like to cancel the trip to vegas next week,lists_remove,remove,lists,37
1174,what does the weather look like this week,what does the weather look like [date : this week],weather_query,query,weather,70
1175,is my school alarm set,is my school alarm set,alarm_query,query,alarm,0
1176,list top five movies of emma watson,list top five movies of [person : emma watson],qa_factoid,factoid,qa,53
1177,tell me the weather for the following month,tell me the weather for [time : the following month],weather_query,query,weather,70
1178,what's happening in america,what's happening in [place_name : america],news_query,query,news,43
1179,what will be the temperature today for miami florida,what will be the [weather_descriptor : temperature] [date : today] for [place_name : miami florida],weather_query,query,weather,70
1180,what is new about blank,what is new about [news_topic : blank],news_query,query,news,43
1181,buy me a ticket to take the train to atlanta,buy me a ticket to take the [transport_type : train] to [place_name : atlanta],transport_ticket,ticket,transport,68
1182,please tell me what lists i have made,please tell me what lists i have made,lists_query,query,lists,36
1183,customer service complaint tweet the following,[business_name : customer service] complaint [media_type : tweet] the following,social_post,post,social,62
1184,play my most favorite country song,play my most favorite [music_genre : country] song,play_music,music,play,46
1185,be funny for me,be funny for me,general_joke,joke,general,20
1186,which song is that,which song is that,music_query,query,music,41
1187,what is the address for the event scheduled on the first of january,what is the address for the event scheduled on the [date : first of january],calendar_query,query,calendar,6
1188,what are my current alerts,what are my current alerts,calendar_query,query,calendar,6
1189,how many grocery stores are located in my neighborhood,how many grocery stores are located in my neighborhood,recommendation_locations,locations,recommendation,59
1190,did i receive any email in the past hour,did i receive any email in the [time : past hour],email_query,query,email,15
1191,does restaurant royale deliver takeaway,does [business_type : restaurant] [business_name : royale] deliver [order_type : takeaway],takeaway_query,query,takeaway,65
1192,olly what is the exchange rate between the us dollar and the aus dollar,olly what is the exchange rate between the [currency_name : us dollar] and the [currency_name : aus dollar],qa_currency,currency,qa,51
1193,at what time have you set alarm for me,at what time have you set alarm for me,alarm_query,query,alarm,0
1194,send an email to my boss saying i will be late,send an email to my [relation : boss] saying I will be late,email_sendemail,sendemail,email,17
1195,i want to meet with sara tomorrow,i want to meet with [person : sara] [date : tomorrow],calendar_set,set,calendar,8
1196,can you recommend any pub in mg road,can you recommend any [business_type : pub] in [place_name : mg road],recommendation_locations,locations,recommendation,59
1197,how many times has adel gone diamond,how many times has adel gone diamond,qa_factoid,factoid,qa,53
1198,bring up a recipe for turkey meatballs,bring up a recipe for [food_type : turkey meatballs],cooking_recipe,recipe,cooking,11
1199,dolores do you notice something odd about your world,dolores do you notice something odd about your world,general_quirky,quirky,general,21
1200,what is the quickest way to grand central,what is the quickest way to grand central,transport_query,query,transport,66
1201,any new email from the boss,any new email from the [relation : boss],email_query,query,email,15
1202,if it's eight pm on the east coast what time is it in sacramento california,if it's [time : eight pm] on the [place_name : east coast] what time is it in [place_name : sacramento california],datetime_convert,convert,datetime,12
1203,set time zone,set time zone,datetime_convert,convert,datetime,12
1204,can you send email to my friend rohit which says i am busy tomorrow,can you send email to my [relation : friend] [person : rohit] which says i am busy [date : tomorrow],email_sendemail,sendemail,email,17
1205,play chess with me please,play [game_name : chess] with me please,play_game,game,play,45
1206,which religion is most true,which religion is most true,general_quirky,quirky,general,21
1207,i want a nerd joke,i want a [joke_type : nerd] joke,general_joke,joke,general,20
1208,go forward please,go [player_setting : forward] please,play_podcasts,podcasts,play,47
1209,what will be the highest temperature in coming week,what will be the highest [weather_descriptor : temperature] in [date : coming week],weather_query,query,weather,70
1210,open derek's contact information,open [person : derek's] contact information,email_querycontact,querycontact,email,16
1211,when is the next touring,when is the next touring,general_quirky,quirky,general,21
1212,i hope we could have lunch together,i hope we could have [meal_type : lunch] together,general_quirky,quirky,general,21
1213,in what scenario would you use word inconvenience,in what scenario would you use word [definition_word : inconvenience],qa_definition,definition,qa,52
1214,definition for object name,definition for [definition_word : object name],qa_definition,definition,qa,52
1215,want to play a game with me,want to play a game with me,play_game,game,play,45
1216,do remove next event from the calendar,do remove next event from the calendar,calendar_remove,remove,calendar,7
1217,want to play a game of trivia,want to play a [game_name : game of trivia],play_game,game,play,45
1218,delete eric's bday from the calendar,delete [event_name : eric's bday] from the calendar,calendar_remove,remove,calendar,7
1219,tube was super busy today,tube was super busy [date : today],general_quirky,quirky,general,21
1220,can you send a tweet to lif saying that their app crashed,can you send a [media_type : tweet] to [business_name : lif] saying that their app crashed,social_post,post,social,62
1221,what do you do with my personal data,what do you do with my personal data,general_quirky,quirky,general,21
1222,bring me the latest tech news,bring me the latest [news_topic : tech] news,news_query,query,news,43
1223,do i need to be reminded of any meetings on monday,do i need to be reminded of any [event_name : meetings] on [date : monday],calendar_set,set,calendar,8
1224,can you set the location to my sisters house for this event,can you set the location to my [relation : sisters] [place_name : house] for this event,calendar_set,set,calendar,8
1225,set an alarm for six am,set an alarm for [time : six am],alarm_set,set,alarm,2
1226,play bbc radio one,play [radio_name : bbc radio one],play_radio,radio,play,48
1227,find game,find game,play_game,game,play,45
1228,open iheartradio rov the rock,open [app_name : iheartradio] rov the [music_genre : rock],play_radio,radio,play,48
1229,how much traffic is there right now in bowery street,how much traffic is there right now in [place_name : bowery street],transport_traffic,traffic,transport,69
1230,when is the event,when is the event,calendar_query,query,calendar,6
1231,do i have any alarms for tomorrow morning,do i have any alarms for [date : tomorrow] [timeofday : morning],alarm_query,query,alarm,0
1232,compose reply,compose reply,email_sendemail,sendemail,email,17
1233,define the moon for me,define [definition_word : the moon] for me,qa_definition,definition,qa,52
1234,olly please purchase me a train ticket to atlanta,olly please purchase me a [transport_type : train] ticket to [place_name : atlanta],transport_ticket,ticket,transport,68
1235,next play atmosphere,next play [song_name : atmosphere],play_music,music,play,46
1236,what is the traffic now,what is the traffic now,transport_traffic,traffic,transport,69
1237,please dim the lights in the bedroom,please dim the lights in the [house_place : bedroom],iot_hue_lightdim,hue_lightdim,iot,28
1238,new notification for meeting in two hours,new notification for [event_name : meeting] in [time : two hours],calendar_set,set,calendar,8
1239,who sung this,who sung this,music_query,query,music,41
1240,play song by daddy yankee,play song by [artist_name : daddy yankee],play_music,music,play,46
1241,wikipedia topics,wikipedia topics,general_quirky,quirky,general,21
1242,please search for this word,please search for this word,qa_definition,definition,qa,52
1243,olly i would like to know about jane's party,olly i would like to know about [person : jane's] [event_name : party],general_quirky,quirky,general,21
1244,send this message to the family group starts with a,send this message to the [relation : family] group starts with a,email_sendemail,sendemail,email,17
1245,olly do i have any calendar events this month,olly do i have any calendar events [date : this month],calendar_query,query,calendar,6
1246,play my favorite song of last year,play my favorite song of [date : last year],play_music,music,play,46
1247,can you tell me what time is it in new york,can you tell me what time is it in [place_name : new york],datetime_query,query,datetime,13
1248,clear my schedule,clear my schedule,calendar_remove,remove,calendar,7
1249,directions to nearest apple store,directions to nearest [business_name : apple store],transport_query,query,transport,66
1250,could you please have uber be at my house in fifteen minutes,could you please have [transport_agency : uber] be at my [place_name : house] in [time : fifteen minutes],transport_taxi,taxi,transport,67
1251,show various plants in earth,show various plants in earth,qa_factoid,factoid,qa,53
1252,what's the current time in orlando florida,what's the current time in [place_name : orlando fl],datetime_query,query,datetime,13
1253,send email to daughter saying i love you,send email to [relation : daughter] saying i love you,email_sendemail,sendemail,email,17
1254,play afi's fourth album,play [artist_name : afi's] fourth album,play_music,music,play,46
1255,tell me about activities in my area this weekend,tell me about activities in my area [date : this weekend],recommendation_events,events,recommendation,58
1256,play romantic playlist,play [playlist_name : romantic playlist],play_music,music,play,46
1257,tell me about my day,tell me about my day,general_quirky,quirky,general,21
1258,today's local events,[date : today's] local events,recommendation_events,events,recommendation,58
1259,update me with the election results,update me with the [news_topic : election] results,news_query,query,news,43
1260,what do i have scheduled for tomorrow i need to cancel,what do i have scheduled for [date : tomorrow] i need to cancel,calendar_remove,remove,calendar,7
1261,what is happening this weekend,what is happening [date : this weekend],calendar_query,query,calendar,6
1262,nighttime mode,nighttime mode,iot_hue_lightdim,hue_lightdim,iot,28
1263,any good bike shops in oxford,any good [business_type : bike shops] in [place_name : oxford],recommendation_locations,locations,recommendation,59
1264,get me updates from kenny's facebook from the weekend,get me updates from [person : kenny's] [media_type : facebook] from the [time : weekend],social_query,query,social,63
1265,what's the latest news about us election,what's the latest news about [news_topic : us election],news_query,query,news,43
1266,nice can you post this to my facebook,nice can you post this to my [media_type : facebook],social_post,post,social,62
1267,run indian folk song,run [music_genre : indian folk] song,play_music,music,play,46
1268,what we got in that meeting which held yesterday,what we got in that [event_name : meeting] which held [date : yesterday],calendar_query,query,calendar,6
1269,clear event from calendar and refresh,clear event from calendar and refresh,calendar_remove,remove,calendar,7
1270,activate a different light color,activate a different light color,iot_hue_lightchange,hue_lightchange,iot,27
1271,what is a cell tower,what is a [definition_word : cell tower],qa_definition,definition,qa,52
1272,send an email to mom subject weather body what is the weather like there this week,send an email to [relation : mom] subject weather body what is the weather like there [date : this week],email_sendemail,sendemail,email,17
1273,listen to the martian from downpour,listen to [audiobook_name : the martian] from [app_name : downpour],play_audiobook,audiobook,play,44
1274,please let me know new emails from michael,please let me know new emails from [person : michael],email_query,query,email,15
1275,set twelve noon prayer for every friday,set [time : twelve noon] [event_name : prayer] for [general_frequency : every friday],calendar_set,set,calendar,8
1276,start my robot vacuum cleaner,start my [device_type : robot vacuum cleaner],iot_cleaning,cleaning,iot,25
1277,can i hear some britney spears,can i hear some [artist_name : britney spears],play_music,music,play,46
1278,remind me about calendar,remind me about calendar,calendar_set,set,calendar,8
1279,book my chair class ac train ticket from manhattan to new york,book my chair class ac [transport_type : train] ticket from [place_name : manhattan] to [place_name : new york],transport_ticket,ticket,transport,68
1280,how do you cook a four cheese omelette,how do you cook a four [food_type : cheese omelette],cooking_recipe,recipe,cooking,11
1281,recent tech headlines,recent [news_topic : tech] headlines,news_query,query,news,43
1282,please put on an alarm for eight am,please put on an alarm for [time : eight am],alarm_set,set,alarm,2
1283,it's coffee time,it's coffee time,iot_coffee,coffee,iot,26
1284,earthquake prediction,earthquake prediction,general_quirky,quirky,general,21
1285,define swerving,define [definition_word : swerving],qa_definition,definition,qa,52
1286,please check third event of twenty second of march twenty seventeen,please check third event of [date : twenty second of march twenty seventeen],calendar_query,query,calendar,6
1287,give me the description of a laptop circuit,give me the description of a [definition_word : laptop circuit],qa_definition,definition,qa,52
1288,what is status of current weather,what is status of current weather,weather_query,query,weather,70
1289,turn living room lights red,turn [house_place : living room] lights [color_type : red],iot_hue_lightchange,hue_lightchange,iot,27
1290,delete my to do list,delete my [list_name : to do] list,lists_remove,remove,lists,37
1291,book me a train ticket to chicago for tomorrow morning before ten,book me a [transport_type : train] ticket to [place_name : chicago] for [date : tomorrow] morning before [time : ten],transport_ticket,ticket,transport,68
1292,put that on facebook,put that on [media_type : facebook],social_post,post,social,62
1293,give me the status on my available memory,give me the status on my available memory,general_quirky,quirky,general,21
1294,what time is it in another city,what time is it in [place_name : another city],datetime_query,query,datetime,13
1295,can you play my favorite audio book of harry potter,can you play my favorite audio book of [audiobook_name : harry potter],play_audiobook,audiobook,play,44
1296,turn wemo on,turn [device_type : wemo] on,iot_wemo_on,wemo_on,iot,33
1297,dea guam prescription drug abuse on the rise,[news_topic : dea guam prescription drug abuse on the rise],news_query,query,news,43
1298,switch to night light setting,switch to night light setting,iot_hue_lightchange,hue_lightchange,iot,27
